,Region,iso3,Country,City/Town
0,Europe (LMIC),ALB,Albania,Korce
1,Europe (LMIC),ALB,Albania,Korce
2,Europe (LMIC),ALB,Albania,Tirana
3,Europe (LMIC),ALB,Albania,Vlore
4,Europe (LMIC),ALB,Albania,Vlore
5,Europe (LMIC),ALB,Albania,Vlore
6,Europe (LMIC),ALB,Albania,Vrith
7,Europe (HIC),AND,Andorra,Escaldes-Engordany
8,Europe (HIC),AND,Andorra,Escaldes-Engordany
9,Europe (HIC),AND,Andorra,Escaldes-Engordany
10,Europe (HIC),AND,Andorra,Escaldes-Engordany
11,Europe (HIC),AND,Andorra,Escaldes-Engordany
12,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Abu Dhabi
13,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Abu Dhabi
14,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Abu Dhabi
15,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Abu Dhabi
16,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Abu Dhabi
17,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Ain
18,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Ain
19,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Ain
20,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Ain
21,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Ain
22,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia
23,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia
24,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia
25,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia
26,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia
27,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia - Bida Zayed
28,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia - Gayathi
29,Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia - Liwa Oasis
30,Americas (LMIC),ARG,Argentina,Buenos Aires
31,Western Pacific (HIC),AUS,Australia,Adelaide
32,Western Pacific (HIC),AUS,Australia,Adelaide
33,Western Pacific (HIC),AUS,Australia,Adelaide
34,Western Pacific (HIC),AUS,Australia,Adelaide
35,Western Pacific (HIC),AUS,Australia,Adelaide
36,Western Pacific (HIC),AUS,Australia,Albany
37,Western Pacific (HIC),AUS,Australia,Albany
38,Western Pacific (HIC),AUS,Australia,Albany
39,Western Pacific (HIC),AUS,Australia,Albany
40,Western Pacific (HIC),AUS,Australia,Albany
41,Western Pacific (HIC),AUS,Australia,Albany
42,Western Pacific (HIC),AUS,Australia,Albany
43,Western Pacific (HIC),AUS,Australia,Albury
44,Western Pacific (HIC),AUS,Australia,Albury
45,Western Pacific (HIC),AUS,Australia,Albury
46,Western Pacific (HIC),AUS,Australia,Albury
47,Western Pacific (HIC),AUS,Australia,Ayr
48,Western Pacific (HIC),AUS,Australia,Bathurst
49,Western Pacific (HIC),AUS,Australia,Bathurst
50,Western Pacific (HIC),AUS,Australia,Bathurst
51,Western Pacific (HIC),AUS,Australia,Bathurst
52,Western Pacific (HIC),AUS,Australia,Brisbane
53,Western Pacific (HIC),AUS,Australia,Brisbane
54,Western Pacific (HIC),AUS,Australia,Bunbury
55,Western Pacific (HIC),AUS,Australia,Bunbury
56,Western Pacific (HIC),AUS,Australia,Bunbury
57,Western Pacific (HIC),AUS,Australia,Bunbury
